alt,callsign,dest_iata,dest_icao,eta,flight,fr24_id,gspeed,hex,lat,lon,operating_as,orig_iata,orig_icao,painted_as,reg,source,squawk,timestamp,track,type,vspeed,target_type_secondary
0,RPA4993,CLT,KCLT,,AA4993,26ed7421,1,A0345F,24.55606,-81.76649,RPA,EYW,KEYW,AAL,N112HQ,ADSB,1444,2021-02-26T15:11:18Z,87,E75S,0,Embraer EMB-175 LR
0,N7336J,,,,,26ed7111,10,A9D963,24.5552,-81.76594,,EYW,KEYW,,N7336J,ADSB,1200,2021-02-26T15:11:17Z,270,P28A,0,PIPER PA-28-140/150/160/180
0,N425JB,,,,,26ed7577,8,A50EFC,24.55519,-81.76538,,EYW,KEYW,,N425JB,ADSB,1200,2021-02-26T15:11:19Z,270,C425,0,Cessna 425 Conquest I
0,AMF8706,EYW,KEYW,,A88706,26ed5cbe,5,A71785,24.55531,-81.75288,AMF,MIA,KMIA,AMF,N556UP,ADSB,0047,2021-02-26T15:11:15Z,270,SW4,0,SWEARINGEN Metro
0,AMF8706,EYW,KEYW,,A88706,26ed5cbe,8,A71785,24.55533,-81.75331,AMF,MIA,KMIA,AMF,N556UP,ADSB,0047,2021-02-26T15:11:27Z,270,SW4,0,SWEARINGEN Metro
0,N425JB,,,,,26ed7577,4,A50EFC,24.55518,-81.76581,,EYW,KEYW,,N425JB,ADSB,1200,2021-02-26T15:11:32Z,270,C425,0,Cessna 425 Conquest I
0,N7336J,,,,,26ed7111,1,A9D963,24.55523,-81.7663,,EYW,KEYW,,N7336J,ADSB,1200,2021-02-26T15:11:32Z,281,P28A,0,PIPER PA-28-140/150/160/180
0,RPA4993,CLT,KCLT,,AA4993,26ed7421,20,A0345F,24.55606,-81.76621,RPA,EYW,KEYW,AAL,N112HQ,ADSB,1444,2021-02-26T15:11:32Z,90,E75S,0,Embraer EMB-175 LR
0,N7336J,,,,,26ed7111,1,A9D963,24.55523,-81.76629,,EYW,KEYW,,N7336J,ADSB,1200,2021-02-26T15:11:39Z,281,P28A,0,PIPER PA-28-140/150/160/180
0,AMF8706,EYW,KEYW,,A88706,26ed5cbe,9,A71785,24.55533,-81.75388,AMF,MIA,KMIA,AMF,N556UP,ADSB,0047,2021-02-26T15:11:38Z,270,SW4,0,SWEARINGEN Metro
0,RPA4993,CLT,KCLT,,AA4993,26ed7421,40,A0345F,24.55607,-81.76564,RPA,EYW,KEYW,AAL,N112HQ,ADSB,1444,2021-02-26T15:11:35Z,90,E75S,0,Embraer EMB-175 LR
0,N425JB,,,,,26ed7577,2,A50EFC,24.55518,-81.76586,,EYW,KEYW,,N425JB,ADSB,1200,2021-02-26T15:11:36Z,270,C425,0,Cessna 425 Conquest I
0,RPA4993,CLT,KCLT,,AA4993,26ed7421,92,A0345F,24.55614,-81.76077,RPA,EYW,KEYW,AAL,N112HQ,ADSB,1444,2021-02-26T15:11:49Z,88,E75S,-64,Embraer EMB-175 LR
0,N425JB,,,,,26ed7577,1,A50EFC,24.55518,-81.76597,,EYW,KEYW,,N425JB,ADSB,1200,2021-02-26T15:11:52Z,272,C425,0,Cessna 425 Conquest I
0,AMF8706,EYW,KEYW,,A88706,26ed5cbe,11,A71785,24.55533,-81.7543,AMF,MIA,KMIA,AMF,N556UP,ADSB,0047,2021-02-26T15:11:46Z,270,SW4,0,SWEARINGEN Metro
0,N7336J,,,,,26ed7111,1,A9D963,24.55523,-81.7663,,EYW,KEYW,,N7336J,ADSB,1200,2021-02-26T15:11:52Z,281,P28A,0,PIPER PA-28-140/150/160/180
0,N7336J,,,,,26ed7111,0,A9D963,24.55523,-81.7663,,EYW,KEYW,,N7336J,ADSB,1200,2021-02-26T15:11:59Z,281,P28A,0,PIPER PA-28-140/150/160/180
0,N425JB,,,,,26ed7577,1,A50EFC,24.55518,-81.76596,,EYW,KEYW,,N425JB,ADSB,1200,2021-02-26T15:12:00Z,270,C425,0,Cessna 425 Conquest I
0,RPA4993,CLT,KCLT,,AA4993,26ed7421,120,A0345F,24.55614,-81.75715,RPA,EYW,KEYW,AAL,N112HQ,ADSB,1444,2021-02-26T15:11:55Z,89,E75S,64,Embraer EMB-175 LR
0,AMF8706,EYW,KEYW,,A88706,26ed5cbe,11,A71785,24.55531,-81.75501,AMF,MIA,KMIA,AMF,N556UP,ADSB,0047,2021-02-26T15:11:57Z,270,SW4,0,SWEARINGEN Metro
0,N425JB,,,,,26ed7577,1,A50EFC,24.55518,-81.76597,,EYW,KEYW,,N425JB,ADSB,1200,2021-02-26T15:12:12Z,270,C425,0,Cessna 425 Conquest I
0,N7336J,,,,,26ed7111,0,A9D963,24.55523,-81.7663,,EYW,KEYW,,N7336J,ADSB,1200,2021-02-26T15:12:09Z,103,P28A,0,PIPER PA-28-140/150/160/180
0,AMF8706,EYW,KEYW,,A88706,26ed5cbe,11,A71785,24.55531,-81.75501,AMF,MIA,KMIA,AMF,N556UP,ADSB,0047,2021-02-26T15:11:57Z,270,SW4,0,SWEARINGEN Metro
325,RPA4993,CLT,KCLT,,AA4993,26ed7421,130,A0345F,24.55635,-81.74611,RPA,EYW,KEYW,AAL,N112HQ,ADSB,1444,2021-02-26T15:12:11Z,88,E75S,3136,Embraer EMB-175 LR
0,N7336J,,,,,26ed7111,0,A9D963,24.55523,-81.7663,,EYW,KEYW,,N7336J,ADSB,1200,2021-02-26T15:12:19Z,271,P28A,0,PIPER PA-28-140/150/160/180
0,N425JB,,,,,26ed7577,0,A50EFC,24.55519,-81.76596,,EYW,KEYW,,N425JB,ADSB,1200,2021-02-26T15:12:19Z,30,C425,0,Cessna 425 Conquest I
750,RPA4993,CLT,KCLT,,AA4993,26ed7421,129,A0345F,24.55756,-81.7403,RPA,EYW,KEYW,AAL,N112HQ,ADSB,1444,2021-02-26T15:12:20Z,64,E75S,2304,Embraer EMB-175 LR
